_step,_runtime,_timestamp,train/completions/clipped_ratio,train/completions/max_length,train/completions/max_terminated_length,train/completions/mean_length,train/completions/mean_terminated_length,train/completions/min_length,train/completions/min_terminated_length,train/epoch,train/global_step,train/grad_norm,train/learning_rate,train/loss,train/sdpo/distillation_loss,train/self_distillation/distillation_loss,train/self_distillation/feedback_available_fraction,train/self_distillation/feedback_used_fraction,train/self_distillation/flat_group_fraction,train/self_distillation/group_reward_std_mean,train/self_distillation/policy_loss,train/self_distillation/reprompt_sample_fraction,train/self_distillation/reward_max,train/self_distillation/reward_mean,train/self_distillation/reward_min,train/self_distillation/reward_std,train/self_distillation/rewards/ojbench_public_reward_fb_critic_bin,train/self_distillation/success_group_fraction,train/self_distillation/success_sample_fraction
0,944.121837143,1782781126.9347286,0.25,20480,19808,17242.375,16163.1669921875,13717,13717,0.03225806451612903,1,0.024676145985722542,0,0.011464044451713562,0.11464017303660512,0.11464017303660512,1,0,0.5,0.2587745785713196,1.862645149230957e-08,1,1,0.3125,0,0.4787135720252991,0.3125,1,1
1,1947.588952623,1782782130.4019847,0.4375,20480,19958,18778.6875,17455.4453125,13448,13448,0.06451612903225806,2,0.0022095469757914543,3e-05,0.0005965569871477783,0.005965569700492779,0.005965569700492779,1,1,1,0,0,1,0,0,0,0,0,0,0
2,2898.983068932,1782783081.762391,0.25,20480,18627,17718.8125,16798.41796875,13764,13764,0.0967741935483871,3,0.010799333453178406,2.8514533018536286e-05,0.005975373554974794,0.059753736248239875,0.059753736248239875,1,0.5625,1,0,0,1,0,0,0,0,0,0.5,0.4375
3,3443.06215793,1782783625.8751822,0,16720,16720,10707.25,10707.25,5720,5720,0.12903225806451613,4,0.02017744444310665,2.4352347027881003e-05,0.012305520474910736,0.12305521802045405,0.12305521802045405,1,0.0625,1,0,0,1,1,0.5,0,0.5163977742195129,0.5,1,0.9375
4,3826.480249323,1782784009.293431,0,12618,12618,9396.625,9396.625,5858,5858,0.16129032258064516,5,0.0325121209025383,1.8337814009344716e-05,0.0153072290122509,0.153072418179363,0.153072418179363,1,0,0.5,0.2314550280570984,-7.450580596923828e-09,1,1,0.875,0,0.34156501293182373,0.875,1,1
5,4689.546168852,1782784872.3593278,0,19590,19590,17011.25,17011.25,14057,14057,0.1935483870967742,6,0.016510220244526863,1.1662185990655285e-05,0.00594015046954155,0.05940158443991095,0.05940158443991095,1,0.5,0.5,0.26726123690605164,0,1,1,0.25,0,0.4472135901451111,0.25,0.5,0.5
6,5642.723920311,1782785825.5367985,0.0625,20480,20076,17311.9375,17100.734375,14022,14022,0.22580645161290322,7,0.015234414488077164,5.647652972118998e-06,0.005369614344090223,0.053696141592809,0.053696141592809,1,0.5625,1,0,0,1,0,0,0,0,0,0.5,0.4375
7,6247.189668937,1782786430.002612,0,16901,16901,11686.4375,11686.4375,4896,4896,0.25806451612903225,8,0.033762384206056595,1.4854669814637145e-06,0.01330935675650835,0.13309349492192268,0.13309349492192268,1,0,0.5,0.26726123690605164,3.725290298461914e-09,1,1,0.25,0,0.4472135901451111,0.25,1,1
8,6250.359364812,1782786433.1727974,,,,,,,,0.25806451612903225,8,,,,,,,,,,,,,,,,,,
