_step,_runtime,_timestamp,train/completions/clipped_ratio,train/completions/max_length,train/completions/max_terminated_length,train/completions/mean_length,train/completions/mean_terminated_length,train/completions/min_length,train/completions/min_terminated_length,train/epoch,train/global_step,train/grad_norm,train/learning_rate,train/loss,train/sdpo/distillation_loss,train/self_distillation/distillation_loss,train/self_distillation/feedback_available_fraction,train/self_distillation/feedback_used_fraction,train/self_distillation/flat_group_fraction,train/self_distillation/group_reward_std_mean,train/self_distillation/policy_loss,train/self_distillation/reprompt_sample_fraction,train/self_distillation/reward_max,train/self_distillation/reward_mean,train/self_distillation/reward_min,train/self_distillation/reward_std,train/self_distillation/rewards/ojbench_public_reward_fb_critic_bin,train/self_distillation/success_group_fraction,train/self_distillation/success_sample_fraction
0,1004.71665628,1782802925.5907292,0.125,20480,19692,17102.5625,16620.072265625,11986,11986,0.058823529411764705,1,0.01662464812397957,0,0.0049604736268520355,0.04960489687800873,0.04960489687800873,1,0.5,0.5,0.2314550280570984,-1.1175870895385742e-08,1,1,0.375,0,0.5,0.375,0.5,0.5
1,1902.157534325,1782803823.0316484,0.125,20480,20006,17442.5625,17008.64453125,13966,13966,0.11764705882352941,2,0.026364123448729515,3e-05,0.011289006099104881,0.11288986261934042,0.11288986261934042,1,0,0,0.4355512857437134,2.421438694000244e-08,1,1,0.75,0,0.4472135901451111,0.75,1,1
2,2770.711836021,1782804691.5859358,0.0625,20480,19301,16191.1875,15905.267578125,10800,10800,0.17647058823529413,3,0.021641088649630547,2.8514533018536286e-05,0.01181102730333805,0.11811027256771922,0.11811027256771922,1,0,1,0,0,1,0,0,0,0,0,1,1
3,3403.764085131,1782805324.6381803,0.0625,20480,19981,12422.3125,11885.1337890625,6460,6460,0.23529411764705882,4,0.026575660333037376,2.4352347027881003e-05,0.01247252244502306,0.12472515366971493,0.12472515366971493,1,0,0.5,0.2314550280570984,0,1,1,0.125,0,0.34156501293182373,0.125,1,1
4,4372.818380206,1782806293.6926486,0.4375,20480,20145,18250.6875,16516.77734375,10763,10763,0.29411764705882354,5,0.0037961574271321297,1.8337814009344716e-05,0.0010545201366767287,0.01054520163233974,0.01054520163233974,1,1,1,0,0,1,0,0,0,0,0,0,0
5,5050.613499495,1782806971.4875672,0,19453,19453,12597.3125,12597.3125,9028,9028,0.35294117647058826,6,0.031283918768167496,1.1662185990655285e-05,0.011954639106988907,0.11954648606479168,0.11954648606479168,1,0,0,0.5260357856750488,-3.725290298461914e-09,1,1,0.5625,0,0.5123475193977356,0.5625,1,1
6,5859.515626841,1782807780.3898714,0.125,20480,18459,15203.375,14449.572265625,10780,10780,0.4117647058823529,7,0.02470840886235237,5.647652972118998e-06,0.011285705491900444,0.1128570968285203,0.1128570968285203,1,0,0.5,0.1767766922712326,-1.1175870895385742e-08,1,1,0.0625,0,0.25,0.0625,1,1
7,6653.808096211,1782808574.682223,0,19000,19000,15621.3125,15621.3125,12321,12321,0.47058823529411764,8,0.047763533890247345,1.4854669814637145e-06,0.011191051453351974,0.11191058857366443,0.11191058857366443,1,0,0,0.49871626496315,1.1175870895385742e-08,1,1,0.625,0,0.5,0.625,1,1
8,6656.999458416,1782808577.8739023,,,,,,,,0.47058823529411764,8,,,,,,,,,,,,,,,,,,
