_step,_runtime,_timestamp,train/completions/clipped_ratio,train/completions/max_length,train/completions/max_terminated_length,train/completions/mean_length,train/completions/mean_terminated_length,train/completions/min_length,train/completions/min_terminated_length,train/epoch,train/global_step,train/grad_norm,train/learning_rate,train/loss,train/sdpo/distillation_loss,train/self_distillation/distillation_loss,train/self_distillation/feedback_available_fraction,train/self_distillation/feedback_used_fraction,train/self_distillation/flat_group_fraction,train/self_distillation/group_reward_std_mean,train/self_distillation/policy_loss,train/self_distillation/reprompt_sample_fraction,train/self_distillation/reward_max,train/self_distillation/reward_mean,train/self_distillation/reward_min,train/self_distillation/reward_std,train/self_distillation/rewards/ojbench_public_reward_fb_critic_bin,train/self_distillation/success_group_fraction,train/self_distillation/success_sample_fraction
0,841.675236724,1782828197.6197214,0.4375,20480,18678,15683.6875,11953.22265625,9587,9587,0.2,1,0.020458044484257698,0,0.008024914190173149,0.08024925388599513,0.08024925388599513,1,0.5,0.5,0.1767766922712326,3.725290298461914e-09,1,1,0.4375,0,0.5123475193977356,0.4375,0.5,0.5
1,1650.005382772,1782829005.9498975,0.25,20480,20418,16899.4375,15705.9169921875,8308,8308,0.4,2,0.022332681342959404,3e-05,0.008660560473799706,0.08660572883673012,0.08660572883673012,1,0,0,0.4355512857437134,0,1,1,0.625,0,0.5,0.625,1,1
2,2278.666883826,1782829634.6113734,0,18170,18170,13023.9375,13023.9375,8108,8108,0.6,3,0.03238208219408989,2.8514533018536286e-05,0.013554781675338745,0.13554776588716777,0.13554776588716777,1,0.0625,0,0.4355512857437134,-9.313225746154785e-09,1,1,0.375,0,0.5,0.375,1,0.9375
3,3125.449156419,1782830481.393814,0.125,20480,20400,15840.0625,15177.21484375,10944,10944,0.8,4,0.023800605908036232,2.4352347027881003e-05,0.008621461689472198,0.0862148255109787,0.0862148255109787,1,0,0,0.4629100561141968,-1.4901161193847656e-08,1,1,0.5,0,0.5163977742195129,0.5,1,1
4,3906.767874509,1782831262.7125258,0.125,20480,19446,15162.25,14402.572265625,5690,5690,1,5,0.031440842896699905,1.8337814009344716e-05,0.012504428625106812,0.12504413700662553,0.12504413700662553,1,0,0,0.3535533845424652,1.862645149230957e-09,1,1,0.5,0,0.5163977742195129,0.5,1,1
5,4463.090277411,1782831819.0349047,0,19347,19347,10897.6875,10897.6875,6654,6654,1.2,6,0.03176959604024887,1.1662185990655285e-05,0.013356871902942657,0.1335685197263956,0.1335685197263956,1,0,0.5,0.2587745785713196,1.862645149230957e-08,1,1,0.8125,0,0.40311288833618164,0.8125,1,1
6,5199.055252186,1782832554.9997876,0.0625,20480,20073,15222.125,14871.6005859375,9233,9233,1.4,7,0.02370251528918743,5.647652972118998e-06,0.007932716980576515,0.07932719867676497,0.07932719867676497,1,0,0,0.3535533845424652,-1.6763806343078613e-08,1,1,0.5,0,0.5163977742195129,0.5,1,1
7,5840.739396402,1782833196.6840072,0,16892,16892,13921,13921,10630,10630,1.6,8,0.029965590685606003,1.4854669814637145e-06,0.012170087546110153,0.12170064123347402,0.12170064123347402,1,0,0,0.4629100561141968,3.3527612686157227e-08,1,1,0.5,0,0.5163977742195129,0.5,1,1
8,5844.014638842,1782833199.959391,,,,,,,,1.6,8,,,,,,,,,,,,,,,,,,
