step,loss,grad_norm,reward_mean,success_group_fraction,mean_length,max_length
1,0.1824,0.4102,0.8125,1.0,3543.0,5227.0
2,0.2075,0.5167,0.7062,1.0,2920.0,5834.0
3,0.189,0.7464,1.0,1.0,1251.0,2103.0
4,0.0,0.0,0.0875,0.0,2116.0,3314.0
5,0.1235,0.4034,0.2875,0.5,1313.0,1681.0
6,0.2098,0.6145,0.9375,1.0,1321.0,1517.0
7,0.2679,1.115,1.0,1.0,1163.0,1927.0
8,0.1065,0.587,0.1375,0.5,1160.0,1701.0
9,0.2,0.6191,0.675,1.0,1178.0,2408.0
10,0.1831,0.7191,1.0,1.0,1406.0,2387.0
11,0.1178,0.5191,0.4688,0.5,745.8,1343.0
12,0.2479,0.8516,0.4563,1.0,1386.0,2602.0
13,0.2037,1.775,0.575,1.0,1535.0,3497.0
14,0.1039,0.312,0.5,0.5,872.3,1523.0
15,0.2377,0.5759,0.8125,1.0,1090.0,1253.0
16,0.07357,0.2945,0.1,0.5,1021.0,1635.0
17,0.09292,0.3529,0.575,0.5,1567.0,2328.0
18,0.0779,0.2127,0.3125,0.5,1297.0,3182.0
19,0.2341,0.9181,0.875,1.0,835.1,1308.0
20,0.194,0.704,0.8125,1.0,1372.0,1805.0
